product_category_name_english,Cluster_Name,order_count,total_revenue,avg_price,customer_count
home_confort,High Monetary Per Order & Total Spent Products Customers,380,62356.06,136.14860262008733,379
home_confort,High Total Spent Products & Monetary Per Order Customers,17,2170.1800000000003,127.65764705882354,17
home_construction,High Monetary Per Order & Total Spent Products Customers,471,84140.49,139.07519008264464,470
home_construction,High Total Spent Products & Monetary Per Order Customers,19,3477.85,119.92586206896551,19
housewares,High Monetary Per Order & Total Spent Products Customers,5669,641631.62,90.97286544732738,5626
housewares,High Total Spent Products & Monetary Per Order Customers,215,24955.38,82.63370860927152,195
industry_commerce_and_business,High Monetary Per Order & Total Spent Products Customers,231,39548.71,148.12250936329588,229
industry_commerce_and_business,High Total Spent Products & Monetary Per Order Customers,4,506.9,126.725,4
kitchen_dining_laundry_garden_furniture,High Monetary Per Order & Total Spent Products Customers,242,47703.27,163.92876288659792,241
kitchen_dining_laundry_garden_furniture,High Total Spent Products & Monetary Per Order Customers,6,797.8,113.97142857142856,6
la_cuisine,High Monetary Per Order & Total Spent Products Customers,12,2110.98,140.732,12
la_cuisine,High Total Spent Products & Monetary Per Order Customers,1,193.0,193.0,1
luggage_accessories,High Monetary Per Order & Total Spent Products Customers,999,142377.91,128.26838738738738,995
luggage_accessories,High Total Spent Products & Monetary Per Order Customers,35,6043.02,114.01924528301888,33
market_place,High Monetary Per Order & Total Spent Products Customers,273,28740.61,88.43264615384615,272
market_place,High Total Spent Products & Monetary Per Order Customers,7,609.49,87.07000000000001,7
music,High Monetary Per Order & Total Spent Products Customers,38,6258.2,156.45499999999998,38
musical_instruments,High Monetary Per Order & Total Spent Products Customers,609,207366.66,297.5131420373027,608
musical_instruments,High Total Spent Products & Monetary Per Order Customers,19,3562.07,169.62238095238095,16
office_furniture,High Monetary Per Order & Total Spent Products Customers,1246,279957.13,161.54479515291402,1239
office_furniture,High Total Spent Products & Monetary Per Order Customers,27,6201.83,137.81844444444445,25
party_supplies,High Monetary Per Order & Total Spent Products Customers,38,4733.28,105.184,38
party_supplies,High Total Spent Products & Monetary Per Order Customers,1,21.9,21.9,1
perfumery,High Monetary Per Order & Total Spent Products Customers,3070,400464.13,116.00930764774044,3041
perfumery,High Total Spent Products & Monetary Per Order Customers,92,12290.68,113.80259259259259,83
pet_shop,High Monetary Per Order & Total Spent Products Customers,1643,214704.88,109.99225409836066,1629
pet_shop,High Total Spent Products & Monetary Per Order Customers,67,8227.42,108.25552631578948,60
security_and_services,High Monetary Per Order & Total Spent Products Customers,2,283.28999999999996,141.64499999999998,2
signaling_and_security,High Monetary Per Order & Total Spent Products Customers,137,21197.41,109.83113989637306,136
signaling_and_security,High Total Spent Products & Monetary Per Order Customers,3,387.4,48.425,3
small_appliances,High Monetary Per Order & Total Spent Products Customers,617,196538.46,286.08218340611353,614
small_appliances,High Total Spent Products & Monetary Per Order Customers,13,4378.2,312.7285714285714,13
small_appliances_home_oven_and_coffee,High Monetary Per Order & Total Spent Products Customers,75,48945.71,627.5091025641026,75
sports_leisure,High Monetary Per Order & Total Spent Products Customers,7438,986351.68,114.63873547187356,7302
sports_leisure,High Total Spent Products & Monetary Per Order Customers,282,37644.66,110.39489736070382,213
stationery,High Monetary Per Order & Total Spent Products Customers,2252,233105.25,91.48557692307692,2239
stationery,High Total Spent Products & Monetary Per Order Customers,59,5923.74,85.85130434782609,57
tablets_printing_image,High Monetary Per Order & Total Spent Products Customers,75,7583.82,91.37132530120482,75
tablets_printing_image,High Total Spent Products & Monetary Per Order Customers,4,256.49,64.1225,4
telephony,High Monetary Per Order & Total Spent Products Customers,4102,335265.87,72.78894268345636,4065
telephony,High Total Spent Products & Monetary Per Order Customers,97,4133.29,35.94165217391304,87
toys,High Monetary Per Order & Total Spent Products Customers,3771,485892.37,117.36530676328502,3749
toys,High Total Spent Products & Monetary Per Order Customers,115,14402.72,108.29112781954886,95
watches_gifts,High Monetary Per Order & Total Spent Products Customers,5463,1218239.23,202.9046019320453,5421
watches_gifts,High Total Spent Products & Monetary Per Order Customers,161,34904.07,177.17802030456852,126
